temporada_alta,periodo_dia
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,mañana
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,tarde
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
1,noche
